epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3239.45,0.96832,1.5655,1.01197,0.8507,0.82745,0.86584,0.64944,0.88303,1.08756,1.00672,0.000657778,0.000657778,0.000657778
2,5377.42,0.96042,0.76597,1.02853,0.44464,0.6719,0.43456,0.31441,1.09203,1.80294,1.09719,0.00129822,0.00129822,0.00129822
3,7504.05,0.96966,0.72432,1.0247,0.91136,0.92157,0.94743,0.66937,0.97885,0.95302,1.089,0.00191226,0.00191226,0.00191226
4,9673.29,0.9884,0.71925,1.02712,0.90123,0.89455,0.95591,0.72221,0.89865,0.67291,1.01126,0.0018812,0.0018812,0.0018812
5,11845.8,0.9378,0.64891,1.0076,0.93962,0.91547,0.97153,0.73541,0.88576,0.62344,1.01224,0.0018416,0.0018416,0.0018416
6,14069.4,0.93015,0.65521,1.00393,0.95098,0.92157,0.97255,0.73616,0.87801,0.68298,0.9998,0.001802,0.001802,0.001802
7,16158.9,0.90468,0.63599,1.00568,0.95402,0.92941,0.96615,0.74516,0.85133,0.64823,0.97821,0.0017624,0.0017624,0.0017624
8,18321.4,0.84289,0.5745,0.97393,0.97651,0.97816,0.99156,0.78773,0.79967,0.49606,0.96152,0.0017228,0.0017228,0.0017228
9,20539.5,0.85145,0.57524,0.96533,0.98124,0.94118,0.99038,0.80985,0.76938,0.49336,0.93978,0.0016832,0.0016832,0.0016832
10,22701.1,0.81048,0.54025,0.95607,0.95383,0.98824,0.99035,0.79564,0.74523,0.5453,0.93364,0.0016436,0.0016436,0.0016436
11,24871.8,0.80462,0.52989,0.95739,0.95404,0.97255,0.99123,0.80576,0.76417,0.49563,0.93029,0.001604,0.001604,0.001604
12,27062.5,0.80382,0.51124,0.94846,0.96077,0.96043,0.99102,0.80046,0.73184,0.46682,0.92137,0.0015644,0.0015644,0.0015644
13,29241.1,0.80723,0.51778,0.96175,0.95656,0.94983,0.98037,0.79105,0.76628,0.47065,0.92436,0.0015248,0.0015248,0.0015248
14,31410.9,0.82004,0.52171,0.97466,0.99598,0.97143,0.99315,0.79692,0.75824,0.44907,0.91962,0.0014852,0.0014852,0.0014852
15,33624.1,0.74947,0.48277,0.9319,0.9656,0.98431,0.99296,0.80075,0.76273,0.43953,0.91772,0.0014456,0.0014456,0.0014456
16,35857.9,0.77993,0.50023,0.94859,0.98642,0.98039,0.99116,0.80416,0.74607,0.44275,0.92692,0.001406,0.001406,0.001406
17,38069,0.75682,0.47292,0.93336,0.9717,0.96471,0.98866,0.82078,0.71093,0.43409,0.89985,0.0013664,0.0013664,0.0013664
18,40312.2,0.73788,0.46588,0.9261,0.98794,0.96361,0.9891,0.80904,0.70704,0.43465,0.91194,0.0013268,0.0013268,0.0013268
19,42601.4,0.74085,0.46278,0.93642,0.98002,0.96158,0.9918,0.82791,0.67032,0.40335,0.8894,0.0012872,0.0012872,0.0012872
